use,year_built,heated_sqft,site_address,municipality,owner,owner_addr1,owner_addr2,owner_citystatezip,tax_value,parcel
MEDBLDG,2002,12359,1005 W H SMITH BV,GREENVILLE,SIMOES JOHN ELMAN TRUSTEE SIMOES FAMILY TRUST OF 1988 TRUSTEE SI,SIMOES EDIE TRUSTEE SIMOES FAMILY TRUST OF 1988 TRUSTEE SIMOES F,1988 BORDEAUX DRIVE,TULARE  CA 93274,2421840.0,52894
CHURCHES,2004,12240,2921 BRIERY SWAMP RD,,ST JOHN MISSIONARY BAPTIST CHURCH IN OF STOKES SOUL SAVING CENTER,PO BOX 82,,STOKES  NC 27884,1478644.0,67587
OFFICE,1999,12050,695 E ARLINGTON BV,GREENVILLE,FIRST UNION NATIONAL BANK OF NC,PO BOX 2609,,CARLSBAD  CA 92018,2699275.0,48593
OFCCONDO,2002,12040,3851 110 DUNHAGAN RD,GREENVILLE,BRADBURY ASSOCIATES,PO BOX 2687,,GREENVILLE  NC 27836,1286717.0,70345
MEDBLDG,2005,11856,2150 HERBERT CT,GREENVILLE,TRUTH PROPERTIES OF JRBA LLC,815 4 MARLOWE RD,,RALEIGH  NC 27609,2255459.0,66543
MEDBLDG,1978,11571,2501 STANTONSBURG RD,GREENVILLE,2501 GREENVILLE LLC,54 DUNDEE LN,,SOUTHAMPTON  NY 11968,1371423.0,90797
MEDBLDG,1985,11510,2573 STANTONSBURG RD,GREENVILLE,2573 STANTONSBURG ROAD LLC,3801 WAKE FOREST RD STE 210,,RALEIGH  NC 27609,1574321.0,34365
MEDBLDG,1987,11471,4024 OLD TAR RD,WINTERVILLE,STEWART ANGELA G,4024 OLD TAR RD.,,WINTERVILLE  NC 28590,1621474.0,44015
MEDBLDG,1983,11374,101 BETHESDA DR,GREENVILLE,GREENVILLE OB GYN PROPERTIES LLC,101 BETHESDA DR,,GREENVILLE  NC 27834,1531614.0,34362
MEDBLDG,1998,11342,801 W H SMITH BV,GREENVILLE,KOLTIS PROPERTIES LLC,PO BOX 725,,APEX  NC 27502,2001416.0,51242
MEDBLDG,1998,11264,2515 BOWMAN GRAY DR,GREENVILLE,L & B INVESTING LLC,1940 BLUE BANKS FARM RD,,GREENVILLE  NC 27834,2022684.0,58064
OFFICE,1989,11251,410 W FOURTEENTH ST,GREENVILLE,BROWN HAZEL J,PO BOX 2335,,GREENVILLE  NC 27836,963599.0,18834
CHURCHES,1976,11250,0 W FIRE TOWER RD,GREENVILLE,REIMAGE CHURCH INCORPORATED,3950 VICTORY LN,,WINTERVILLE  NC 28590,716516.0,27678
OFFICE,1998,11238,1420 E FIRE TOWER RD,GREENVILLE,JSD REAL ESTATE LLC,740 SE GREENVILLE BLVD STE 400 163,,GREENVILLE  NC 27858,1489373.0,58062
CHURCHES,2004,11150,9644 COUNTY HOME RD,,TIMOTHY CHRISTIAN CHURCH,9657 COUNTY HOME RD,,AYDEN  NC 28513,1484772.0,27083
MEDBLDG,1987,11089,626 MEDICAL DR,GREENVILLE,PCMH MANAGEMENT INC,2100 STANTONSBURG RD,,GREENVILLE  NC 27835,1311420.0,32124
CHURCHES,2003,11083,7355 EAST MARLBORO RD,,MOYES CHAPEL FWB CHURCH,PO BOX 30,,FARMVILLE  NC 27828,1672757.0,59096
MEDBLDG,2001,10904,2355 HEMBY LN,GREENVILLE,H & B VENTURES LLC,2355 HENBY LANE,,GREENVILLE  NC 27834,1841753.0,63559
OFCCONDO,2001,10838,1125 CORPORATE DR,GREENVILLE,GSE HOLDINGS LLC,1905 TURNBURY DR,,GREENVILLE  NC 27858,1268242.0,62978
