use,year_built,heated_sqft,site_address,municipality,owner,owner_addr1,owner_addr2,owner_citystatezip,tax_value,parcel
BANKS,1999,7394,1011 RED BANKS RD,GREENVILLE,WARD HOLDINGS LLC,503 CHESAPEAKE PL,,GREENVILLE  NC 27858,1586655.0,59390
MEDBLDG,1982,7291,2500 W FIFTH ST,GREENVILLE,DLC PROPERTIES LLC,PO BOX 1106,,AHOSKIE  NC 27910,1234237.0,38800
OFCCONDO,1998,7200,4052 A S MEMORIAL DR,GREENVILLE,DIVERSIFIED OF PITT COUNTY LLC,1250 EASTWOOD DR,,WINTERVILLE  NC 28590,794571.0,62278
OTHERMUNICP,2000,7197,2490 HEMBY LN,GREENVILLE,GREENVILLE CITY OF,PO BOX 7207,,GREENVILLE  NC 27835,1208335.0,59637
OFFICE,2002,7124,845 JOHNS HOPKINS DR,GREENVILLE,G W U LLC,845 JOHNS HOPKINS DR STE A,,GREENVILLE  NC 27834,1143797.0,34381
OFFICE,1997,7116,1706 E ARLINGTON BV,GREENVILLE,GREEN EGGS AND HAM PROPERTIES LLC,1706 E ARLINGTON BV STE B,,GREENVILLE  NC 27858,868330.0,57812
OFFICE,1997,7084,1704 E ARLINGTON BV,GREENVILLE,SAMPONE LLC,1704 E ARLINGTON BV,UNIT A,GREENVILLE  NC 27858,698496.0,57811
OFFICE,1977,7020,120 READE ST,GREENVILLE,NORTH CAROLINA STATE OF,116 W JONES ST,,RALEIGH  NC 27603,818896.0,25519
DAYCRCNTR,1985,7000,2263 STANTONSBURG RD,GREENVILLE,KCP RE LLC,6310 SAN VINCENTE BLVD STE #250,,LOS ANGELES  CA 90048,519840.0,41656
CHURCHES,1987,7000,234 SNOW HILL ST,AYDEN,FREEDOM BAPTIST CHURCH,234 SNOW HILL ST,,AYDEN  NC 28513,777636.0,92273
OFFICE,1999,6998,1430 E ARLINGTON BV,GREENVILLE,RENNSPORT MOTORWERKS LLC,PO BOX 1863,,GREENVILLE  NC 27835,854986.0,59773
OFFICE,2004,6990,1025 DIRECTOR CT,GREENVILLE,S & K WAINRIGHT HOLDINGS LLC,3277 SPEIGHT SEED FARM RD,,WINTERVILLE  NC 28590,1106866.0,62984
OFFICE,1980,6976,650 MEDICAL DR,GREENVILLE,PCMH MANAGEMENT INC,PO BOX 6028,,GREENVILLE  NC 27835,722995.0,32121
OFCCONDO,1994,6956,498 RED BANKS RD,GREENVILLE,GREENVILLE GROWTH LLC,333 FARMINGTON RD,,GRIMESLAND  NC 27837,690607.0,82754
OFFICE,1976,6934,200 E FIRST ST,GREENVILLE,NORTH CAROLINA STATE OF,PO BOX 629,116 W JONES ST,RALEIGH  NC 27602,706719.0,06289
OFFICE,1996,6928,1694 E ARLINGTON BV,GREENVILLE,WILKERSON CHARLES V JR,WILKERSON BARBARA ROBINSON,ETAL,GREENVILLE  NC 27858,824366.0,56178
CHURCHES,1993,6872,1303 EVANS ST,GREENVILLE,NORTH AMERICAN ISLAMIC TRUST INC,1303 S EVANS ST,,GREENVILLE  NC 27858,966031.0,02107
CHURCHES,2003,6858,5525 NC 33 E,,FREEDOM BAPTIST CHURCH,P O BOX 71,,SIMPSON  NC 27879,1089400.0,00122
MEDBLDG,2003,6848,2425 HEMBY LN,GREENVILLE,GREENVILLE EYE CLINIC PROPERTIES LLC,2425 HEMBY LN,,GREENVILLE  NC 27834,1368940.0,66283
CHURCHES,2000,6840,1375 MUMFORD RD,GREENVILLE,SOUTH ATLANTIC CONFERENCE ASSOCIATION,OF SEVENTH DAY ADVENTIS INC,294 HAMILTON E HOLMES DR NW,ATLANTA  GA 30314,1339262.0,61015
CHURCHES,1999,6798,4778 SCHOOL RD,GRIMESLAND,DELIVERANCE OF FAITH PENTECOSTAL MINISTRIES,PO BOX 213,,GRIMESLAND  NC 27837,1632501.0,24906
OFFICE,1980,6704,111 S WASHINGTON ST,GREENVILLE,PITT COUNTY,1717 W FIFTH ST,,GREENVILLE  NC 27834,902408.0,36302
OFFICE,1999,6700,1420 E ARLINGTON BV,GREENVILLE,DAY FAMILY HOLDINGS LLC,PO BOX 507,,GREENVILLE  NC 27858,739988.0,59782
OTHERMUNICP,1991,6668,109 W EIGHTH ST,GREENVILLE,GREENVILLE MUSEUM OF ART INCORPORATED,802 EVANS ST,,GREENVILLE  NC 27834,1036825.0,23714
CHURCHES,2003,6637,3501 SPEIGHT SEED FARM RD,,EMMANUEL COMMUNITY FREEWILL BAPTIST CENTER INC,PO BOX 1728,,WINTERVILLE  NC 28590,1017667.0,65116
FIRE-STATION,2002,6630,3020 BLACK JACK SIMPSON RD,,BLACK JACK VOLUNTEER FIRE DEPT INC,3020 BLACK JACK SIMPSON RD,,GREENVILLE  NC 27858,656340.0,04243
DAYCRCNTR,1987,6629,4890 OLD TAR RD,WINTERVILLE,LIBBUS ENTERPRISES PROPERTIES LLC,5400 HIGHCROFT DR,,CARY  NC 27519,581858.0,51833
OFFICE,2001,6538,1015 CONFERENCE DR,GREENVILLE,LCA DEVELOPMENT LLC,1015 CONFERENCE DR,,GREENVILLE  NC 27858,766619.0,62983
CHURCHES,1998,6534,191 PACKAGE CRAFT RD,BETHEL,NEW WYNN CHAPEL MISSIONARY BAPTIST CHURCH,PO BOX 127,,BETHEL  NC 27812,963756.0,11944
MEDBLDG,1983,6512,2 MEDICAL DR,GREENVILLE,PCMH MANAGEMENT INC,PO BOX 6028,,GREENVILLE  NC 27835,911883.0,32109
OFFICE,1998,6505,1450 E ARLINGTON BV,GREENVILLE,HBCC PROPERTIES LLC,PO BOX 2687,,GREENVILLE  NC 27834,860710.0,58419
OFFICE,1995,6501,1400 E FIRE TOWER RD,GREENVILLE,HSI GREENVILLE INVESTMENTS LLC,PO BOX 566,,GREENVILLE  NC 27835,712516.0,54853
OFFICE,1999,6481,1410 E ARLINGTON BV,GREENVILLE,RHD PROPERTY MANAGEMENT LLC,3361 NC 903 S,,WINTERVILLE  NC 28590,836090.0,59783
BANKS,2003,6438,135 DAVENPORT FARM RD,WINTERVILLE,STATE EMPLOYEES CREDIT UNION,PO BOX 26807,,RALEIGH  NC 27611,3375427.0,66534
MEDCONDO,1999,6413,1970 B W ARLINGTON BV,GREENVILLE,GARRIS ALFRED E,DIXON WAYNE,ETAL,GREENVILLE  NC 27858,894498.0,61330
OFFICE,2004,6408,3280 CHARLES BV,GREENVILLE,ABC FAMILY LLC,PO BOX 25334,,SARASOTA  FL 34277,975268.0,68851
DAYCRCNTR,1995,6398,102 SCALES PL,GREENVILLE,ADJ PROPERTIES LLC,1730 MINLEY WAY,,APEX  NC 27502,658303.0,34384
MEDBLDG,1985,6392,5076 US 264 E,,TRIPP HOLDINGS LLC,5130 US 264 E,,GREENVILLE  NC 27834,602586.0,42795
OFFICE,1988,6384,110 E ARLINGTON BV,GREENVILLE,PIRATE LAWYERS LLC,110 E ARLINGTON BLVD,,GREENVILLE  NC 27858,915598.0,27385
OTHERMUNICP,2000,6324,255 ROLLINS DR,GREENVILLE,GREENVILLE CITY OF,PO BOX 7207,,GREENVILLE  NC 27835,1597287.0,40170
OFFICE,2002,6317,1103 CORPORATE DR,GREENVILLE,WARD HOLDINGS LLC,503 CHESAPEAKE PL,,GREENVILLE  NC 27858,902609.0,62976
OFFICE,1982,6300,200 EASTBROOK DR,GREENVILLE,NG ALEXANDER,NG NANCY,PO BOX 1953,ATLANTIC BEACH  NC 28512,468716.0,38071
CHURCHES,1984,6287,4174 WEST AV,AYDEN,NEW DELIVERANCE FWB CHURCH TRUSTEES,PO BOX 746,,AYDEN  NC 28513,215093.0,16110
MEDBLDG,2003,6240,3793 1 LEE ST,AYDEN,SMBC LEASING AND FINANCE INC,14400 METCALF AVE,,OVERLAND PARK  KS 66223,897805.0,58874
DAYCRCNTR,1989,6240,262 THIRD ST,AYDEN,ECONOMIC IMPROVEMENT COUNCIL INC,PO BOX 549,,EDENTON  NC 27932,492968.0,01892
OFCCONDO,2001,6234,1105 CORPORATE DR,GREENVILLE,SOUND PROPERTIES LLC,1105 A CORPORATE DR,,GREENVILLE  NC 27858,739711.0,62977
OFCCONDO,2002,6210,3851 102 DUNHAGAN RD,GREENVILLE,BCPS PROPERTIES LLC,3851 DUNHAGAN RD STE 102,,GREENVILLE  NC 27858,770540.0,70343
MEDBLDG,1996,6196,4796 OLD TAR RD,WINTERVILLE,WINTER VILLAGE MEDICAL PROPERTIES LLC,1850 W ARLINGTON BLVD,,GREENVILLE  NC 27834,815599.0,53004
OFFICE,1998,6182,507 SE GREENVILLE BV,GREENVILLE,GMAKS LLC,6616 REST HAVEN DR,,RALEIGH  NC 27612,645271.0,16806
OFFICE,2003,6171,2995 RADIO STATION RD,GREENVILLE,WOOTEN DEVELOPMENT COMPANY,PO BOX 10907,,GOLDSBORO  NC 27532,955953.0,66147
MEDCONDO,1999,6152,2010 A W ARLINGTON BV,GREENVILLE,VJH PROPERTIES LLC,605 ASHBURTON DR,,GREENVILLE  NC 27858,861752.0,63170
OFFICE,1996,6138,1692 E ARLINGTON BV,GREENVILLE,WARD MARK A TRUSTEE CECIL S MIZELLE,MIZELLE CECIL S,ETAL,GREENVILLE  NC 27858,762744.0,53500
BANKS,1994,6130,2296 CHARLES BV,GREENVILLE,STATE EMPLOYEES CREDIT UNION,GREENVILLE II,PO BOX 26807,RALEIGH  NC 27611,2484407.0,53346
OFFICE,1999,6120,205 PLAZA DR,GREENVILLE,WILLIAMS INVESTMENT PROPERTIES LLC,100 OAKMONT DR UNIT B,,GREENVILLE  NC 27858,755555.0,43763
MEDBLDG,1987,6110,505 SE GREENVILLE BV,GREENVILLE,GARDNER HOLDING COMPANY LLC,506 LONG POINT RD,,CHOCOWINITY  NC 27817,1104516.0,16818
CHURCHES,2001,6060,2866 SEVEN PINES RD,,ST PETERS DISCIPLE CHURCH OF CHRIST,2866 SEVEN PINES RD,,GREENVILLE  NC 27834,813920.0,35785
CHURCHES,1975,6035,7709 PITT ST,GRIMESLAND,GRIMESLAND FWB CHURCH,PO BOX 279,,GRIMESLAND  NC 27837,711126.0,30769
CHURCHES,1996,6022,400 STATON HOUSE RD,,KINGDOM HALL OF JEHOVAHS WITNESSES,400 STATON HOUSE RD,,GREENVILLE  NC 27834,799547.0,55045
MEDCONDO,2002,6017,2460 EMERALD PL,GREENVILLE,MD KOMBOS LLC,44 17 28TH AV APT 3F,,ASTORIA  NY 11103,1116208.0,65173
MEDCONDO,2002,6017,2450 EMERALD PL,GREENVILLE,BRM GREENVILLE LLC,PO BOX 20822,,WINSTON-SALEM  NC 27120,1050455.0,65174
MEDCONDO,1987,6000,2303 EXECUTIVE CI,GREENVILLE,W J ROBERSON RENTALS LLC,174 STONEY KNOB RD,,WEAVERVILLE  NC 28787,853537.0,43465
OFFICE,1988,6000,3011 S MEMORIAL DR,GREENVILLE,ACT INVESTMENTS LLC,720 COTTON FARM RD,,PINETOPS  NC 27864,498378.0,45514
CHURCHES,1990,6000,2523 FLOYD HARRIS RD,,LIGHTHOUSE CHURCH OF GREENVILLE NC,3259 CLEMMONS SCHOOL RD,,STOKES  NC 27884,827336.0,49706
OTHERMUNICP,1987,6000,3826 JAMES ST,BETHEL,BETHEL TOWN OF,PO BOX 337,,BETHEL  NC 27812,270810.0,06563
OTHERMUNICP,2004,6000,2613 RAILROAD ST,WINTERVILLE,WINTERVILLE TOWN OF,PO BOX 1459,,WINTERVILLE  NC 28590,1121333.0,07110
OFFICE,1996,6000,4061 EAST AV,AYDEN,AYDEN TOWN OF,PO BOX 219,,AYDEN  NC 28513,539849.0,05267
OFFICE,1985,5964,315 CLIFTON ST,GREENVILLE,BETTER CONNECTIONS INC,PO BOX 3381,,GREENVILLE  NC 27836,508621.0,74952
DAYCRCNTR,1991,5938,118 W FIRE TOWER RD,GREENVILLE,LONG RIDGE INVESTMENTS LLC,PO BOX 642,,WASHINGTON  NC 27889,749688.0,50114
OFFICE,1975,5880,3818 STANTONSBURG RD,,CARRAWAY JAMES ANTHONY,1539 SEVEN PINES RD,,FOUNTAIN  NC 27829,88395.0,30714
MEDBLDG,2005,5795,855 JOHNS HOPKINS DR,GREENVILLE,JASA PROP LLC,1910 E FIFTH ST,,GREENVILLE  NC 27858,1109244.0,34382
MEDBLDG,1995,5786,1688 E ARLINGTON BV,GREENVILLE,SMITH TERESA ANNETE,1184 FORLINES ROAD,,WINTERVILLE  NC 28590,952915.0,54136
OFFICE,1986,5774,2404 CHARLES BV,GREENVILLE,GREENVILLE RE HOLDINGS LLC,PO BOX 2571,,GREENVILLE  NC 27836,565968.0,33086
OFFICE,1986,5710,499 SE GREENVILLE BV,GREENVILLE,GENERAL UTILITY COMPANY INC,B/T STORAGE LLC,ETAL,BENSON  NC 27504,633386.0,16812
OFFICE,1999,5660,710 CROMWELL DR,GREENVILLE,PERRYS 1 LLC,PO BOX 1475,,KINSTON  NC 28503,685939.0,75959
MEDBLDG,1993,5642,1705 G S MEMORIAL DR,GREENVILLE,PITT COUNTY MEMORIAL HOSPITAL INCORPORATED,2100 STANTONSBURG RD,,GREENVILLE  NC 27835,750162.0,38749
CHURCHES,1993,5624,210 WILSON ST,GREENVILLE,CHERRY LANE FWB CHURCH,210 WILSON ST,,GREENVILLE  NC 27834,626620.0,10837
OTHERMUNICP,1977,5592,2501 N MEMORIAL DR,,STATON HOUSE FIRE DEPT INC,2501 N MEMORIAL DR,,GREENVILLE  NC 27834,648164.0,26262
OFFICE,1991,5515,1206 EVANS ST,GREENVILLE,MONT LLC,PO BOX 1574,,GREENVILLE  NC 27835,419671.0,03738
OFFICE,1997,5509,1302 E FIRE TOWER RD,GREENVILLE,ARROW GROUP LLC,1302 E FIRE TOWER RD,,GREENVILLE  NC 27858,779647.0,56710
CHURCHES,1997,5500,3316 LYNCH ST,,UNION PRIMITIVE BAPTIST ASSOCIATION,PO BOX 713,,FOUNTAIN  NC 27829,572054.0,27320
OTHERCOUNTY,1977,5460,2407 S MEMORIAL DR,GREENVILLE,PITT COUNTY,1717 W FIFTH ST,,GREENVILLE  NC 27834,625477.0,14146
OFFICE,2000,5455,2825 CHARLES BV,GREENVILLE,CEDAR LANDING PROPERTIES LLC,3 REST HAVEN ROAD EXT,,BATH  NC 27808,861747.0,62027
OTHERCOUNTY,1982,5450,4189 NC 33 W,,BELVOIR VOLUNTEER FIRE DEPT INC,PO BOX 57,,FALKLAND  NC 27827,432888.0,34255
OFFICE,1983,5404,102 OAKMONT DR,GREENVILLE,EASTERN INVESTMENTS LLC,227 WINDSOR RD,,GREENVILLE  NC 27858,364280.0,30493
OFFICE,1977,5404,1206 CHARLES BV,GREENVILLE,NORTH CAROLINA STATE OF,116 W JONES ST,,RALEIGH  NC 27603,702192.0,16464
OFCCONDO,2002,5400,2780 D DICKINSON AVENUE EX,GREENVILLE,SALTER PATH CAMP GROUND INC,PO BOX 2323,,ATLANTIC BEACH  NC 28512,689047.0,71627
MEDBLDG,2000,5376,410 SPRING FOREST RD,GREENVILLE,WILKO PROPERTIES 6 LLC,801 PLAZA BV,,KINSTON  NC 28501,1246969.0,52664
CHURCHES,2003,5364,962 JACK JONES RD,,FRIENDS IN FELLOWSHIP CHRISTIAN CHURCH INC,PO BOX 2444,,WINTERVILLE  NC 28590,845866.0,66116
MEDBLDG,2004,5340,3282 CHARLES BV,GREENVILLE,WNR PROPERTIES LLC,3282 CHARLES BLVD,,GREENVILLE  NC 27858,928574.0,47541
CHURCHES,1986,5320,4351 E TENTH ST,,BAYT SHALOM,PO BOX 2713,ECU STATION,GREENVILLE  NC 27836,1211471.0,43764
DAYCRCNTR,1990,5306,4151 E TENTH ST,GREENVILLE,RISING STARS OF NORTH CAROLINA LLC,9402 STANTONSBURG RD,,WALSTONBURG  NC 27888,635264.0,26107
MEDBLDG,1993,5302,707 W H SMITH BV,GREENVILLE,MATLACK INVESTMENTS LLC,2587 RAVENHILL DR,,FAYETTEVILLE  NC 28303,836090.0,51241
MEDCONDO,2001,5298,2070 W ARLINGTON BV,GREENVILLE,SILVER OAKS CAPITAL LLC,1112 SILVER OAKS CT,,RALEIGH  NC 27614,816415.0,59379
CHURCHES,2005,5259,1062 ROOSEVELT SPAIN RD,,CASA DEL ALFARERO DE GREENVILLE INC,3597 PAULS PATH RD,,LAGRANGE  NC 28551,526605.0,45522
OFFICE,1994,5225,601 SE GREENVILLE BV,GREENVILLE,KIRKLAND DRIVE ASSOCIATES,PO BOX 8346,,ROCKY MOUNT  NC 27804,641870.0,16809
OFFICE,1989,5220,501 SE GREENVILLE BV,GREENVILLE,MCLAWHORN CHARLES L JR,MCLAWHORN ELISA M,3592 NC 903 SOUTH,WINTERVILLE  NC 28590,570452.0,16817
OFCCONDO,2003,5220,2140 D W ARLINGTON BV,GREENVILLE,GENIUS ARLINGTON LLC,20 GARDEN PL,,JERICHO  NY 11753,837696.0,67393
OFCCONDO,1994,5201,498 A RED BANKS RD,GREENVILLE,WHHS RE LLC,498 A RED BANKS RD,,GREENVILLE  NC 27858,696108.0,82755
OFFICE,1985,5200,323 CLIFTON ST,GREENVILLE,WILLIAMSBURG COMMONS OFFICE PARK LLC,323 CLIFTON ST,,GREENVILLE  NC 27858,501490.0,41702
CHURCHES,1997,5200,111 SUNSET ACRES LN,,HADDOCKS UNITED AMERICAN FWB CHURCH,111 SUNSET ACRES LN,,WINTERVILLE  NC 28590,683436.0,33458
DAYCRCNTR,1981,5186,1933 N MEMORIAL DR,GREENVILLE,ORE KHATEETA M,1023 SUNNYFIELD DR,,GREENVILLE  NC 27858,298630.0,37836
MEDBLDG,1991,5160,2490 STANTONSBURG RD,GREENVILLE,STANTONSBURG ASSOCIATES LLC,115 REGENCY BLVD,,GREENVILLE  NC 27834,787177.0,48581
MEDCONDO,1998,5136,615 S MEMORIAL DR,GREENVILLE,LBCR INVESTMENTS LLC,944 VAN GERT DRIVE,,WINTERVILLE  NC 28590,1156146.0,82145
OFFICE,1987,5124,109 COTANCHE ST,GREENVILLE,R P G INC,PO BOX 929,,GREENVILLE  NC 27835,609249.0,19007
MEDBLDG,1993,5106,3118 E TENTH ST,GREENVILLE,J&H TENTH STREET LLC,4313 SOUTHLEA DR,,WINTERVILLE  NC 28590,665198.0,51840
OFFICE,1997,5100,1210 E ARLINGTON BV,GREENVILLE,NCA LLC,1210 E ARLINGTON BV,,GREENVILLE  NC 27858,678435.0,57642
OFFICE,2004,5100,115 REGENCY BV,GREENVILLE,REGENCY PLACE LLC,115 REGENCY BLVD,,GREENVILLE  NC 27834,872040.0,59204
OFFICE,1999,5100,2285 B COUNTY HOME RD,GREENVILLE,SAAD KIMBERLY GRAY,SAAD GEORGE S JR,7000 BALTUSROL LN,CHARLOTTE  NC 28210,389010.0,63087
MEDCONDO,1995,5095,2317 EXECUTIVE CI,GREENVILLE,HERITAGE DEVELOPMENT CO OF GREENVILLE INC,2301 EXECUTIVE PARK CIR,,GREENVILLE  NC 27834,766258.0,43462
CHURCHES,1975,5090,4334 WEST PINE ST,FARMVILLE,MACEDONIA MISSIONARY BAPTIST CHURCH,CHESTNUT MELVIN TRUSTEE,ETAL,FARMVILLE  NC 27828,434937.0,80325
OFFICE,1997,5077,105 D E VICTORIA CT,GREENVILLE,VICTORIA COURT PROPERTIES LLC,105-D E VICTORIA CT,,GREENVILLE  NC 27858,652330.0,55694
OFFICE,1999,5070,3493 EVANS ST,GREENVILLE,TIB LLC,BUTLER DONALD EUGENE TRUSTEE DON AND FAYE BUTLER REVOCAB TRUSTEE,27 ANNETTE DR STE 107,BENSON  NC 27504,564863.0,57864
OFFICE,1999,5070,3491 EVANS ST,GREENVILLE,W & L RENTAL PROPERTIES LLC,193 PENINSULA POINT DR,,MONETA  VA 24121,564863.0,57863
OFFICE,1999,5048,103 COMMERCE ST,GREENVILLE,WILLIAMS INVESTMENTS PROPERTIES LLC,100 OAKMONT DR UNIT B,,GREENVILLE  NC 27858,641783.0,27390
OFFICE,2003,5048,903 E ARLINGTON BV,GREENVILLE,PHC MANAGEMENT LLC,903 E ARLINGTON BLVD,UNIT A,GREENVILLE  NC 27858,780896.0,66992
OFCCONDO,1988,5040,2406 . CHARLES BV,GREENVILLE,THREE DOGS PROPERTIES LLC,1117 OXNER COVE RD,,WAYNESVILLE  NC 28786,504450.0,33087
BANKS,1992,5038,101 W FIRE TOWER RD,WINTERVILLE,BRANCH BANKING AND TRUST COMPANY,TAX COMPLIANCE DEPT,PO BOX 167,WINSTON SALEM  NC 27102,1123799.0,44165
MEDBLDG,1977,5016,7 MEDICAL DR,GREENVILLE,PCMH MANAGEMENT INC,PO BOX 6028,,GREENVILLE  NC 27835,734890.0,32114
CHURCHES,2005,5016,4346 SOUTH EDGE RD,AYDEN,NEW DELIVERANCE CHURCH OF CHRIST DISCIPLES OF CHRIST,719 HOOKER RD,,GREENVILLE  NC 27834,841390.0,71089
OFFICE,1984,5002,219 COMMERCE ST,GREENVILLE,J CORE HOLDINGS LLC,517 MARY LEE CT,,WINTERVILLE  NC 28590,385747.0,26135
MEDBLDG,2000,5002,835 JOHNS HOPKINS DR,GREENVILLE,TRIPP FARMS LLC,100 HICKORY ST,UNIT S 200,GREENVILLE  NC 27858,872101.0,34380
OFFICE,2003,5000,2691 L T HARDEE RD,,CYBERSHARK HOLDINGS LLC,2691 L T HARDEE RD,,GREENVILLE  NC 27858,393641.0,66844
CHURCHES,2002,5000,1803 FLEMING SCHOOL RD,,HIGHWAY OF HOLINESS MIRACLE OF FAITH SOUL SAVING STATION INC,1803 FLEMING SCHOOL RD,,GREENVILLE  NC 27834,724444.0,47435
DAYCRCNTR,2002,5000,1332 ROUSE RD,,SHROCK GWYNNE MORRIS,1342 ROUSE RD,,GREENVILLE  NC 27858,341506.0,39135
OFFICE,1985,4972,223 COMMERCE ST,GREENVILLE,J CORE HOLDINGS LLC,517 MARY LEE CT,,WINTERVILLE  NC 28590,394279.0,26136
OTHERMUNICP,1978,4899,1703 E FOURTEENTH ST,GREENVILLE,GREENVILLE CITY OF,PO BOX 7207,,GREENVILLE  NC 27835,1634081.0,32775
OFFICE,2000,4888,3531 MOYE TURNAGE RD,FARMVILLE,BARROW SUSAN D,4846 SYLVIA AVE,,FARMVILLE  NC 27828,541950.0,49674
OFFICE,1986,4880,301 W FOURTEENTH ST,GREENVILLE,BAPA MARTIN LLC,PO BOX 776,,GREENVILLE  NC 27835,414589.0,05340
OFFICE,2003,4823,209 E ARLINGTON BV,GREENVILLE,CAROLINA PREGNANCY CENTER,PO BOX 1964,,GREENVILLE  NC 27835,830832.0,51543
MEDCONDO,1999,4815,2080 W ARLINGTON BV,GREENVILLE,GREENVILLE MEDICAL PROPERTIES LLC,PO BOX 985,,MILLERS CREEK  NC 28651,702517.0,59925
OFCCONDO,1998,4800,4052 E S MEMORIAL DR,GREENVILLE,ARCW INC,4052 E SOUTH MEMORIAL DR,,WINTERVILLE  NC 28590,530133.0,62279
OFFICE,1985,4756,2408 CHARLES BV,GREENVILLE,2408 CHARLES BLVD LLC,430 BAYWOOD DR,,WINTERVILLE  NC 28590,690743.0,33088
BANKS,1990,4753,1001 RED BANKS RD,GREENVILLE,EAST CAROLINA BANK THE,626 WASHINGTON PLACE,ATTN: REAL ESTATE,PITTSBURGH  PA 15219,1593488.0,48275
MEDBLDG,1976,4726,108 OAKMONT DR,GREENVILLE,CARENET COUNSELING EAST,108 OAKMONT DR,,GREENVILLE  NC 27858,519377.0,30496
CHURCHES,1991,4717,1867 KINSAUL WILLOUGHBY RD,,HOUSE OF WORSHIP HOLINESS CHURCH INC,1575 ELLWOOD DR,,GREENVILLE  NC 27834,583182.0,37780
OFFICE,1978,4711,103 OAKMONT DR,GREENVILLE,M2 PROPERTIES LLC,2622 WINDING COVE DR,,GRIMESLAND  NC 27837,365230.0,30509
OFFICE,2005,4711,2269 STANTONSBURG RD,GREENVILLE,MAVTAR ASSET MANAGEMENT LLC,103 WEST BLVD,,WILLIAMSTON  NC 27892,911529.0,41493
CHURCHES,1980,4673,3327 MOBLEYS BRIDGE RD,,CHRIST MINISTRIES WHOSOEVER WILL INC,PO BOX 39,,WASHINGTON  NC 27889,400572.0,54254
MEDBLDG,1989,4672,402 BOWMAN GRAY DR,GREENVILLE,STATE OF NORTH CAROLINA,1321 MAIL SERVICE CENTER,,RALEIGH  NC 27699,681987.0,81785
OFFICE,1977,4666,401 S PITT ST,GREENVILLE,LOPRO LLC,401 W 1ST ST,,GREENVILLE  NC 27834,376873.0,27592
MEDBLDG,1985,4648,702 JOHNS HOPKINS DR,GREENVILLE,WILLIAMS INVESTMENT PROPERTIES LLC,100 OAKMONT DR UNIT B,,GREENVILLE  NC 27858,725222.0,34368
DAYCRCNTR,1979,4635,1026 RED BANKS RD,GREENVILLE,BRODY 2012 GST TRUST FBO SAMANTHA LEIGH BRODY,BRODY 2012 GST TRUST FBO WILLIAM COPELAND BRODY,ETAL,GREENVILLE  NC 27858,491091.0,35253
DAYCRCNTR,1977,4629,105 AIRPORT RD,GREENVILLE,FOLLOW THE SON OF GREENVILLE INC,2728 PRESTONWOOD DR,,GRIMESLAND  NC 27837,224742.0,39039
OFFICE,2002,4612,2095 EVANS ST,GREENVILLE,MCGEE KENNETH J,2527 S 17TH STREET,,WILMINGTON  NC 28401,877873.0,62974
OFFICE,1995,4610,906 MOYE BV,GREENVILLE,MMP HOLDINGS LLC,906 MOYE BLVD,,GREENVILLE  NC 27834,825047.0,50500
BANKS,1979,4590,212 S GREENE ST,GREENVILLE,PITT COUNTY,JOANNE BURGDORFF,1717 W. 5TH ST.,GREENVILLE  NC 27835,854720.0,23890
OFFICE,1975,4578,231 COMMERCE ST,GREENVILLE,WOOTEN DEVELOPMENT COMPANY,PO BOX 10907,,GOLDSBORO  NC 27532,621391.0,27400
OFFICE,2003,4558,211 E ARLINGTON BV,GREENVILLE,VARTHAK VENTURES LLC,PO BOX 3009,,KITTY HAWK  NC 27949,653636.0,51544
CHURCHES,1989,4540,5659 BARRETT RD,,KINGDOM EMBASSY NATION CHURCH INTERNATIONAL,732 BURTON ST,,ROCKY MOUNT  NC 27803,412993.0,38803
OFCCONDO,2000,4524,102 B REGENCY BV,GREENVILLE,RANDOLPH HOLDINGS LLC,1166 OAK HIL DR,,GREENVILLE  NC 27858,660379.0,66832
OFFICE,1984,4500,3730 CHARLES BV,,EAST SUQ PROPERTIES LLC,3905 HUDSONS CROSROADS RD,,GREENVILLE  NC 27858,655490.0,37681
OFCCONDO,1985,4458,150 E E ARLINGTON BV,GREENVILLE,K & L CORPORATION OF NC INC,4313 SOUTHLEA DR,,WINTERVILLE  NC 28590,471179.0,42707
OTHERMUNICP,1993,4439,200 STATON RD,GREENVILLE,GREENVILLE CITY OF,PO BOX 1847,,GREENVILLE  NC 27835,769190.0,50899
MEDBLDG,1985,4430,206 THIRD ST,AYDEN,WILKO PROPERTIES 8 LLC,801 PLAZA BLVD,,KINSTON  NC 28501,360345.0,12210
OFFICE,1986,4424,201 PLAZA DR,GREENVILLE,MCCARTHY TIMOTHY A,MCCARTHY NATALIE BLAND,201 PLAZA DR,GREENVILLE  NC 27858,486907.0,38074
MEDBLDG,1985,4391,3210 EVANS ST,GREENVILLE,DVM SERVICES REALTY LLC,4909 EXPRESSWAY DR,,WILSON  NC 27893,512935.0,42353
MEDBLDG,1991,4390,705 W H SMITH BV,GREENVILLE,BELAC HILL LLC,4520 SOUTHLEA DR,,WINTERVILLE  NC 28590,797895.0,50271
OFFICE,1979,4385,0 RED BANKS RD,GREENVILLE,TOWNE BANK,6001 HARBOUR VIEW BLVD,,SUFFOLK  VA 23435,564043.0,35421
OFFICE,1980,4361,1994 STANTONSBURG RD,GREENVILLE,COOKE HMAW PROPERTIES LLC,P O BOX 3886,,GREENVILLE  NC 27836,736197.0,34718
